,代码,名称,最新价,涨跌幅,股东名称,持股变动信息-增减,持股变动信息-变动数量,持股变动信息-占总股本比例,持股变动信息-占流通股比例,变动后持股情况-持股总数,变动后持股情况-占总股本比例,变动后持股情况-持流通股数,变动后持股情况-占流通股比例,变动开始日,变动截止日,公告日
25,834639,晨光电缆,4.13,0.73,王明珍,增持,0.625,0.003348214,0.01,180.0431,0.96,,,2023/3/2,2023/4/13,2023/4/14
26,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健一期私募证券投资基金,增持,16.23,0.08115,0.08,,,,,2023/4/13,2023/4/13,2023/4/29
27,601117,中国化学,10.59,4.75,国化投资控股有限公司,增持,15113.5447,2.473789583,2.5,15113.5447,2.47,,,2023/4/13,2023/4/13,2023/4/14
28,300796,贝斯美,11.84,1.63,上海垒土资产管理有限公司,增持,319.464,0.884591736,0.88,1696.7922,4.7,1696.7922,4.7,2023/4/10,2023/4/13,2023/4/18
29,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健一期私募证券投资基金,增持,3.53,0.01765,0.02,,,,,2023/4/12,2023/4/12,2023/4/29
30,603016,新宏泰,24.57,2.38,赵汉新,增持,0.01,6.75E-05,0,,,,,2023/4/12,2023/4/12,2023/4/18
31,600987,航民股份,7.91,1.8,浙江航民实业集团有限公司,增持,100,0.09516388,0.1,45296.5306,43.11,,,2023/4/12,2023/4/12,2023/4/14
32,600499,科达制造,12.55,1.37,广东联塑科技实业有限公司,增持,441.78,0.22673757,0.27,13660.0077,7.01,,,2023/4/12,2023/4/12,2023/4/13
33,600039,四川路桥,15.85,0.76,蜀道投资集团有限责任公司,增持,126.49,0.020318331,0.03,348298.1516,55.95,,,2023/3/22,2023/4/12,2023/4/13
34,791,甘肃能源,5.09,0.59,中国长江电力股份有限公司,增持,1600.5327,0.999995105,1.18,23990.0909,14.99,,,2023/3/31,2023/4/12,2023/4/13
35,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健一期私募证券投资基金,增持,30,0.15,0.15,,,,,2023/4/11,2023/4/11,2023/4/29
36,600987,航民股份,7.91,1.8,浙江航民实业集团有限公司,增持,200,0.19032776,0.21,45196.5306,43.01,,,2023/4/11,2023/4/11,2023/4/14
37,600690,海尔智家,23.7,5.57,青岛海创智管理咨询企业(有限合伙),增持,276.8472,0.029306549,0.03,12339.0888,1.31,,,2023/4/11,2023/4/11,2023/4/12
38,600499,科达制造,12.55,1.37,广东联塑科技实业有限公司,增持,623.254,0.31987663,0.38,13218.2277,6.78,,,2023/4/11,2023/4/11,2023/4/13
39,600084,中葡股份,7.81,0.51,孙伟,增持,1123.7208,0.999994634,1,8989.8108,8,8989.8108,8,2023/3/2,2023/4/11,2023/4/12
40,2437,誉衡药业,2.31,0.87,上海方圆达创投资合伙企业(有限合伙)-方圆-东方12号私募投资基金、上海方圆达创投资合伙企业(有限合伙)-方圆-东方27号私募投资基金,增持,3519,1.600911359,1.61,,,,,2023/4/11,2023/4/11,2023/4/13
41,2092,中泰化学,6.54,-0.15,新疆中泰(集团)有限责任公司,增持,959.0922,0.368765381,0.37,59108.2773,22.73,,,2023/3/14,2023/4/11,2023/4/14
42,688699,明微电子,53.48,3.28,博普资产尊享12号私募证券投资基金,增持,185,1.680830465,3.53,,,,,2023/2/17,2023/4/10,2023/4/12
43,603688,石英股份,118.7,1.21,江苏太平洋石英股份有限公司-第四期员工持股计划,增持,149.1597,0.412867822,0.41,,,,,,2023/4/10,2023/4/11
44,600987,航民股份,7.91,1.8,浙江航民实业集团有限公司,增持,220,0.209360536,0.23,44996.5306,42.82,,,2023/4/10,2023/4/10,2023/4/14
45,600499,科达制造,12.55,1.37,广东联塑科技实业有限公司,增持,750.12,0.384988877,0.46,12594.9737,6.46,,,2023/4/10,2023/4/10,2023/4/13
46,600323,瀚蓝环境,20.09,0.65,广东南海控股集团有限公司,增持,43.4942,0.053344395,0.05,12598.4871,15.45,,,2022/10/11,2023/4/10,2023/4/11
47,300841,康华生物,86.26,0.54,青岛盈科盛道创业投资基金合伙企业(有限合伙),增持,0.44,0.00326772,0,,,,,2023/4/10,2023/4/10,2023/4/14
48,603317,天味食品,17.16,-0.29,盈富增信添利19号1期私募证券投资基金,增持,323,0.42316586,0.43,873,1.14,,,2023/4/7,2023/4/7,2023/4/8
49,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他缘友稳健一期私募证券投资基金,增持,0.53,0.00265,0,,,,,2023/4/7,2023/4/7,2023/4/29
50,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健二期私募证券投资基金,增持,2.2,0.011,0.01,,,,,2023/4/7,2023/4/7,2023/4/29
51,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健三期私募证券投资基金,增持,57.02,0.2851,0.29,,,,,2023/4/7,2023/4/7,2023/4/29
52,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友激进一期私募证券投资基金,增持,23.12,0.1156,0.12,,,,,2023/4/7,2023/4/7,2023/4/29
53,600238,海南椰岛,12.25,-0.24,全德能源(江苏)有限公司,增持,77.23,0.172311468,0.17,2241.004,5,2241.004,5.04,2023/4/7,2023/4/7,2023/4/10
54,300299,富春股份,8.63,7.07,陈丹儒,增持,9.4,0.013598957,0.01,9.4,0.01,,,2023/3/20,2023/4/7,2023/4/14
55,300299,富春股份,8.63,7.07,鄂少洋,增持,13.1,0.018951738,0.02,13.1,0.02,,,2023/3/14,2023/4/7,2023/4/14
56,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健三期私募证券投资基金,增持,27.62,0.1381,0.14,,,,,2023/4/6,2023/4/6,2023/4/29
57,600238,海南椰岛,12.25,-0.24,全德能源(江苏)有限公司,增持,26.19,0.058433735,0.06,2163.774,4.83,2163.774,4.86,2023/4/6,2023/4/6,2023/4/10
58,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友激进一期私募证券投资基金,增持,19.5,0.0975,0.1,,,,,2023/4/4,2023/4/4,2023/4/29
59,600238,海南椰岛,12.25,-0.24,全德能源(江苏)有限公司,增持,18.78,0.041900937,0.04,2137.584,4.77,2137.584,4.8,2023/4/4,2023/4/4,2023/4/10
60,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健二期私募证券投资基金,增持,0.5,0.0025,0,,,,,2023/4/3,2023/4/3,2023/4/29
61,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友激进一期私募证券投资基金,增持,13,0.065,0.07,,,,,2023/4/3,2023/4/3,2023/4/29
62,600238,海南椰岛,12.25,-0.24,全德能源(江苏)有限公司,增持,98.23,0.219165551,0.22,2118.804,4.73,2118.804,4.76,2023/4/3,2023/4/3,2023/4/10
63,300919,中伟股份,61.91,1.16,中伟新材料股份有限公司2022年员工持股计划,增持,309.3207,0.461236525,1.35,,,,,,2023/4/3,2023/4/3
64,300080,易成新能,5.34,-5.49,中国平煤神马控股集团有限公司,增持,2176.1944,1.000020667,1.78,104346.861,47.95,16638.4461,13.62,2023/1/12,2023/4/3,2023/4/4
65,544,中原环保,6.78,2.42,河南资产管理有限公司,增持,7.95,0.008156486,0.01,4873.4177,5,,,2023/4/3,2023/4/3,2023/4/4
66,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友激进一期私募证券投资基金,增持,12.1,0.0605,0.06,,,,,2023/3/31,2023/3/31,2023/4/29
67,600238,海南椰岛,12.25,-0.24,全德能源(江苏)有限公司,增持,119.35,0.266287372,0.27,2020.574,4.51,2020.574,4.54,2023/3/31,2023/3/31,2023/4/10
68,300268,*ST佳沃,20.46,0.2,深圳市惠通基金管理有限公司-惠通二号私募证券投资基金,增持,12,0.068886338,0.09,,,,,2023/3/31,2023/3/31,2023/4/6
69,300268,*ST佳沃,20.46,0.2,深圳市惠通基金管理有限公司-惠通三号私募证券投资基金,增持,10.37,0.059529277,0.08,,,,,2023/3/31,2023/3/31,2023/4/6
70,2574,明牌珠宝,6.63,5.41,浙江日月首饰集团有限公司,增持,9.3,0.017613636,0.02,16459.1494,31.17,,,2023/3/30,2023/3/31,2023/4/6
71,2557,洽洽食品,43.3,-0.12,洽洽食品股份有限公司第八期员工持股计划,增持,36.07,0.07114366,0.07,153.3431,0.3,,,2023/2/1,2023/3/31,2023/4/4
72,2478,常宝股份,6.66,0,曹强,增持,1730,1.943300058,2.62,1730,1.94,1730,2.62,2022/9/29,2023/3/31,2023/4/4
73,603317,天味食品,17.16,-0.29,盈富增信添利19号1期私募证券投资基金,增持,550,0.720561062,0.73,550,0.72,,,2023/3/30,2023/3/30,2023/3/31
74,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友激进一期私募证券投资基金,增持,54.72,0.2736,0.27,,,,,2023/3/30,2023/3/30,2023/4/29
75,600499,科达制造,12.55,1.37,广东联塑科技实业有限公司,增持,88.72,0.045534332,0.05,11720.7737,6.02,,,2023/3/30,2023/3/30,2023/3/31
76,600238,海南椰岛,12.25,-0.24,全德能源(江苏)有限公司,增持,158.414,0.353444891,0.36,1901.224,4.24,1901.224,4.27,2023/3/30,2023/3/30,2023/4/10
77,2574,明牌珠宝,6.63,5.41,虞兔良,增持,76.1,0.144128788,0.14,76.1,0.14,,,2023/3/30,2023/3/30,2023/4/6
78,603713,密尔克卫,92.4,-5.91,李仁莉,增持,5,0.030416367,0.03,2078.6209,12.64,,,2023/3/29,2023/3/29,2023/3/30
79,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健二期私募证券投资基金,增持,2.2,0.011,0.01,,,,,2023/3/29,2023/3/29,2023/4/29
80,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健三期私募证券投资基金,增持,0.62,0.0031,0,,,,,2023/3/29,2023/3/29,2023/4/29
81,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他缘友稳健一期私募证券投资基金,增持,1.49,0.00745,0.01,,,,,2023/3/29,2023/3/29,2023/4/29
82,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健一期私募证券投资基金,增持,30.78,0.1539,0.15,,,,,2023/3/29,2023/3/29,2023/4/29
83,600499,科达制造,12.55,1.37,广东联塑科技实业有限公司,增持,448.4558,0.230163833,0.27,11632.0537,5.97,,,2023/3/29,2023/3/29,2023/3/31
84,600238,海南椰岛,12.25,-0.24,全德能源(江苏)有限公司,增持,163.52,0.364837126,0.37,1742.81,3.89,1742.81,3.92,2023/3/29,2023/3/29,2023/4/10
85,300119,瑞普生物,21.5,-1.92,图灵私募基金管理(海南)有限公司-图灵麦田6号私募证券投资基金,增持,203.2,0.434170606,0.63,330.2,0.71,,,2023/3/29,2023/3/29,2023/3/31
86,425,徐工机械,6.86,2.85,徐州工程机械集团有限公司,增持,900.366,0.076197812,0.19,238585.1679,20.19,,,2023/3/29,2023/3/29,2023/3/30
87,603667,五洲新春,11.39,-2.57,上海阿杏投资管理有限公司-阿杏格致13号私募证券投资基金,增持,482,1.467348657,1.49,482,1.47,,,2023/3/28,2023/3/28,2023/3/29
88,603317,天味食品,17.16,-0.29,盈富增信添利19号私募证券投资基金,增持,652,0.854192386,0.86,652,0.85,,,2023/3/28,2023/3/28,2023/3/31
89,600683,京投发展,4.65,2.42,北京市基础设施投资有限公司,增持,81.72,0.110316511,0.11,28890.3191,39,,,2022/11/29,2023/3/28,2023/3/29
90,600499,科达制造,12.55,1.37,广东联塑科技实业有限公司,增持,712.4402,0.365650232,0.44,11183.5979,5.74,,,2023/3/28,2023/3/28,2023/3/31
91,600499,科达制造,12.55,1.37,广东联塑科技实业有限公司,增持,490.69,0.251839962,0.3,10471.1577,5.37,,,2023/3/27,2023/3/27,2023/3/31
92,600238,海南椰岛,12.25,-0.24,全德能源(江苏)有限公司,增持,79.29,0.176907631,0.18,1579.29,3.52,1579.29,3.55,2023/3/27,2023/3/27,2023/4/10
93,300518,盛讯达,34.21,3.98,陈湧鑫,增持,128,0.898643918,0.94,164.2648,1.15,164.2648,1.2,2023/3/27,2023/3/27,2023/3/28
94,300406,九强生物,23.4,-1.22,中国医药投资有限公司,增持,461.98,0.784556935,1.38,9785.4687,16.62,,,2022/12/28,2023/3/27,2023/3/27
95,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健三期私募证券投资基金,增持,3,0.015,0.02,,,,,2023/3/24,2023/3/24,2023/4/29
96,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友激进一期私募证券投资基金,增持,0.01,5.00E-05,0,,,,,2023/3/24,2023/3/24,2023/4/29
97,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健一期私募证券投资基金,增持,34.67,0.17335,0.17,,,,,2023/3/24,2023/3/24,2023/4/29
98,600499,科达制造,12.55,1.37,广东联塑科技实业有限公司,增持,238.3642,0.12233718,0.15,9980.4677,5.12,,,2023/3/24,2023/3/24,2023/3/31
99,1227,兰州银行,3.01,1.69,兰州国资投资(控股)建设集团有限公司,增持,182.15,0.031980282,0.07,40520.25,7.11,,,2022/9/24,2023/3/24,2023/3/25
100,1227,兰州银行,3.01,1.69,兰州金融控股有限公司,增持,209.87,0.036847113,0.08,209.87,0.04,,,2022/9/24,2023/3/24,2023/3/25
101,1227,兰州银行,3.01,1.69,李小林,增持,3.6,0.000632056,0,3.6,0,,,2022/9/24,2023/3/24,2023/3/25
102,1227,兰州银行,3.01,1.69,甘肃盛达集团有限公司,增持,124.25,0.021814713,0.04,27624.25,4.85,,,2022/9/24,2023/3/24,2023/3/25
103,1227,兰州银行,3.01,1.69,兰州天庆房地产开发有限公司,增持,122.8,0.021560135,0.04,27882.8,4.9,,,2022/9/24,2023/3/24,2023/3/25
104,1227,兰州银行,3.01,1.69,华邦控股集团有限公司,增持,131.87,0.023152565,0.05,29876.97,5.25,,,2022/9/24,2023/3/24,2023/3/25
105,603025,大豪科技,14.76,2.29,北京一轻控股有限责任公司,增持,128.37,0.138878474,0.14,30230.873,32.71,,,2023/3/23,2023/3/23,2023/3/24
106,601318,中国平安,51.8,2.84,中国平安保险(集团)股份有限公司2023年度长期服务计划,增持,9660.8364,0.528485165,0.53,9660.8364,0.53,,,2023/3/16,2023/3/23,2023/3/25
107,601318,中国平安,51.8,2.84,中国平安保险(集团)股份有限公司2023年度核心人员持股计划,增持,1503.018,0.082220905,0.08,1503.018,0.08,,,2023/3/16,2023/3/23,2023/3/25
108,2108,沧州明珠,4.41,1.15,于立辉,增持,0.04,2.39E-05,0,1184.7622,0.71,1184.7622,0.71,2023/3/23,2023/3/23,2023/3/27
109,833781,瑞奇智造,6.12,2.34,张力,增持,3.0233,0.02581893,0.04,135.5378,1.16,,,2023/1/17,2023/3/21,2023/3/21
110,833781,瑞奇智造,6.12,2.34,龚胤建,增持,1.45,0.012382975,0.02,198.6727,1.7,,,2023/1/17,2023/3/21,2023/3/21
111,833781,瑞奇智造,6.12,2.34,邓勇,增持,2.2,0.018787962,0.03,137.5871,1.17,,,2023/1/17,2023/3/21,2023/3/21
112,603515,欧普照明,20.83,4.15,上海峰岳企业管理合伙企业(有限合伙),增持,1491.79,1.977948623,1.98,2251.79,2.99,,,2023/3/21,2023/3/21,2023/3/23
113,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友激进一期私募证券投资基金,增持,0.02,0.0001,0,,,,,2023/3/21,2023/3/21,2023/4/29
114,601028,玉龙股份,12.14,3.06,王传涛,增持,3.12,0.003984543,0,3.12,0,,,2022/12/28,2023/3/21,2023/3/22
115,601028,玉龙股份,12.14,3.06,孟业丛,增持,3.51,0.004482611,0,3.51,0,,,2022/12/28,2023/3/21,2023/3/22
116,601028,玉龙股份,12.14,3.06,延晓雨,增持,3.26,0.004163337,0,3.26,0,,,2022/12/28,2023/3/21,2023/3/22
117,601028,玉龙股份,12.14,3.06,陆军波,增持,3.49,0.004457069,0,3.49,0,,,2022/12/28,2023/3/21,2023/3/22
118,601028,玉龙股份,12.14,3.06,刘俍辰,增持,3.02,0.003856834,0,3.02,0,,,2022/12/28,2023/3/21,2023/3/22
119,601028,玉龙股份,12.14,3.06,张善厚,增持,3.19,0.00407394,0,3.19,0,,,2022/12/28,2023/3/21,2023/3/22
120,601028,玉龙股份,12.14,3.06,孔娟,增持,3.23,0.004125024,0,3.23,0,,,2022/12/28,2023/3/21,2023/3/22
121,600926,杭州银行,12.56,4.41,杭州市城市建设投资集团有限公司,增持,11860.55,1.999998875,2.34,41540.55,7,,,2023/3/21,2023/3/21,2023/3/22
122,300119,瑞普生物,21.5,-1.92,图灵私募基金管理(海南)有限公司-图灵麦田6号私募证券投资基金,增持,127,0.271356629,0.39,127,0.27,,,2023/3/21,2023/3/21,2023/3/31
123,661,长春高新,162.91,0.38,长春超达投资集团有限公司,增持,17.95,0.044352769,0.04,7625.6454,18.84,,,2023/3/21,2023/3/21,2023/3/21
124,688121,卓然股份,40.1,3.67,上海牧鑫资产管理有限公司-牧鑫通盈2号私募证券投资基金,增持,72,0.355263157,0.52,112.53,0.56,,,2023/2/24,2023/3/20,2023/3/31
125,688047,龙芯中科,150.58,5.47,北京天童芯源科技有限公司,增持,2.0247,0.005049127,0.06,8633.8875,21.53,,,2023/1/31,2023/3/20,2023/3/22
126,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健三期私募证券投资基金,增持,16.1,0.0805,0.08,,,,,2023/3/20,2023/3/20,2023/4/29
127,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友激进一期私募证券投资基金,增持,34.73,0.17365,0.17,,,,,2023/3/20,2023/3/20,2023/4/29
128,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健一期私募证券投资基金,增持,11.02,0.0551,0.06,,,,,2023/3/20,2023/3/20,2023/4/29
129,600039,四川路桥,15.85,0.76,蜀道投资集团有限责任公司,增持,84.8433,0.013628542,0.02,348171.6616,55.93,,,2023/3/13,2023/3/20,2023/3/22
130,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健三期私募证券投资基金,增持,31.97,0.15985,0.16,,,,,2023/3/17,2023/3/17,2023/4/29
131,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健二期私募证券投资基金,增持,4.46,0.0223,0.02,,,,,2023/3/17,2023/3/17,2023/4/29
132,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他缘友稳健一期私募证券投资基金,增持,25.51,0.12755,0.13,,,,,2023/3/17,2023/3/17,2023/4/29
133,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友激进一期私募证券投资基金,增持,9.52,0.0476,0.05,,,,,2023/3/17,2023/3/17,2023/4/29
134,2089,*ST新海,0.89,-2.2,苏州海竞信息科技集团有限公司,增持,200,0.145489504,0.16,750.1,0.55,,,2023/3/1,2023/3/17,2023/3/18
135,12,南玻A,6.57,0.92,深圳市冠隆物流有限公司,增持,16,0.005210552,0.01,16,0.01,16,0.01,2023/3/17,2023/3/17,2023/3/23
136,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友激进一期私募证券投资基金,增持,25.63,0.12815,0.13,,,,,2023/3/16,2023/3/16,2023/4/29
137,301,东方盛虹,12.67,-0.47,陕西省国际信托股份有限公司-陕国投·东方盛虹控股股东及其关联企业第三期员工持股集合资金信托计划,增持,9773.1388,1.478272434,1.78,,,,,,2023/3/16,2023/3/17
138,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健二期私募证券投资基金,增持,15.34,0.0767,0.08,,,,,2023/3/15,2023/3/15,2023/4/29
139,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健一期私募证券投资基金,增持,3.09,0.01545,0.02,,,,,2023/3/15,2023/3/15,2023/4/29
140,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友激进一期私募证券投资基金,增持,25.32,0.1266,0.13,,,,,2023/3/15,2023/3/15,2023/4/29
141,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健三期私募证券投资基金,增持,28.09,0.14045,0.14,,,,,2023/3/15,2023/3/15,2023/4/29
142,2514,宝馨科技,8.9,4.46,南京宇宏股权投资有限公司,增持,261.88,0.363704914,0.47,261.88,0.36,,,2023/3/15,2023/3/15,2023/3/16
143,2089,*ST新海,0.89,-2.2,马玲芝、张栗滔、苏州海竞信息科技集团有限公司,增持,100,0.072744752,0.08,,,,,2023/3/13,2023/3/15,2023/3/16
144,301,东方盛虹,12.67,-0.47,陕西省国际信托股份有限公司-陕国投·东方盛虹第三期员工持股集合资金信托计划,增持,590.9977,0.089393554,0.11,5893.5155,0.89,,,2023/1/17,2023/3/15,2023/3/16
145,301,东方盛虹,12.67,-0.47,陕西省国际信托股份有限公司-陕国投·东方盛虹第三期2号员工持股集合资金信托计划,增持,2833.3704,0.428571971,0.52,2833.3704,0.43,,,,2023/3/15,2023/3/16
146,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友激进一期私募证券投资基金,增持,1.05,0.00525,0.01,,,,,2023/3/14,2023/3/14,2023/4/29
147,603700,宁水集团,13.99,4.4,上海蓝墨投资管理有限公司-蓝墨私享7号私募证券投资基金,增持,27,0.132846557,0.13,489,2.41,489,2.41,2023/3/13,2023/3/13,2023/3/17
148,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健三期私募证券投资基金,增持,35,0.175,0.18,,,,,2023/3/13,2023/3/13,2023/4/29
149,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友激进一期私募证券投资基金,增持,58,0.29,0.29,,,,,2023/3/13,2023/3/13,2023/4/29
150,603022,新通联,9.15,1.44,知行利他私募基金管理(北京)有限公司-知行利他荣友稳健一期私募证券投资基金,增持,56.82,0.2841,0.28,,,,,2023/3/13,2023/3/13,2023/4/29
151,2092,中泰化学,6.54,-0.15,新疆中泰(集团)有限责任公司,增持,1470.9813,0.565583767,0.57,58149.1851,22.36,,,2023/2/8,2023/3/13,2023/3/14
152,600346,恒力石化,15.8,-0.38,恒峰投资(大连)有限公司,增持,919.1064,0.130571583,0.13,,,,,2022/10/22,2023/3/12,2023/3/13
153,600039,四川路桥,15.85,0.76,蜀道投资集团有限责任公司,增持,3429.5,0.550887148,0.72,348086.8183,55.91,,,2023/1/19,2023/3/12,2023/3/13
154,2089,*ST新海,0.89,-2.2,马玲芝、张栗滔、苏州海竞信息科技集团有限公司,增持,50,0.036372376,0.04,,,,,2023/3/3,2023/3/12,2023/3/16
